State and County,FIPS,Longitude,Latitude,Population(2010),Total Area mi²
AK Yukon-Koyukuk [4] County,2290,-151.576855,65.376131,"5,588","147,804.631"
AZ Apache County,4001,-109.493747,35.385845,"71,518","11,218.438"
AZ Cochise County,4003,-109.75412,31.881793,"131,346","6,218.596"
AZ Coconino County,4005,-111.773728,35.829692,"134,421","18,661.342"
AZ Gila County,4007,-110.81187,33.789618,"53,597","4,795.428"
AZ Graham County,4009,-109.87831,32.931828,"37,220","4,641.066"
AZ Greenlee County,4011,-109.242323,33.238872,"8,437","1,848.433"
AZ La Paz County,4012,-114.038793,33.727625,"20,489","4,513.753"
AZ Maricopa County,4013,-112.495534,33.346541,"3,817,117","9,224.389"
AZ Mohave County,4015,-113.749689,35.717705,"200,186","13,460.649"
AZ Navajo County,4017,-110.320908,35.390934,"107,449","9,959.719"
AZ Pima County,4019,-111.783018,32.128237,"980,263","9,189.097"
AZ Pinal County,4021,-111.367257,32.91891,"375,770","5,374.234"
AZ Santa Cruz County,4023,-110.84519,31.525904,"47,420","1,238.108"
AZ Yavapai County,4025,-112.573745,34.630044,"211,033","8,127.940"
AZ Yuma County,4027,-113.910905,32.773942,"195,751","5,519.109"
AR Arkansas County,5001,-91.376547,34.289574,"19,019","1,033.749"
AR Ashley County,5003,-91.772267,33.190835,"21,853",940.527
AR Baxter County,5005,-92.330438,36.28071,"41,513",586.715
AR Benton County,5007,-94.256187,36.337825,"221,339",883.906
AR Boone County,5009,-93.079204,36.304308,"36,903",601.831
AR Bradley County,5011,-92.168164,33.463819,"11,508",652.917
AR Calhoun County,5013,-92.513879,33.56046,"5,368",632.414
AR Carroll County,5015,-93.541663,36.337774,"27,446",638.800
AR Chicot County,5017,-91.297158,33.267139,"11,800",690.787
AR Clark County,5019,-93.176205,34.053312,"22,995",882.829
AR Clay County,5021,-90.418704,36.367302,"16,083",641.436
AR Cleburne County,5023,-92.059974,35.566288,"25,970",591.922
AR Cleveland County,5025,-92.188714,33.893201,"8,689",598.748
AR Columbia County,5027,-93.226901,33.21507,"24,552",766.753
AR Conway County,5029,-92.689248,35.265702,"21,273",566.668
AR Craighead County,5031,-90.630411,35.828268,"96,443",712.674
AR Crawford County,5033,-94.236224,35.583041,"61,948",604.242
AR Crittenden County,5035,-90.315331,35.211878,"50,902",636.377
AR Cross County,5037,-90.773894,35.291259,"17,870",622.307
AR Dallas County,5039,-92.653999,33.967823,"8,116",668.106
AR Desha County,5041,-91.244427,33.828748,"13,008",819.526
AR Drew County,5043,-91.722778,33.587242,"18,509",835.661
AR Faulkner County,5045,-92.324654,35.146356,"113,237",664.072
AR Franklin County,5047,-93.887672,35.508573,"18,125",619.642
AR Fulton County,5049,-91.819239,36.383443,"12,245",620.328
AR Garland County,5051,-93.146915,34.578861,"96,024",734.621
AR Grant County,5053,-92.423984,34.288063,"17,853",632.930
AR Greene County,5055,-90.565241,36.119922,"42,090",579.563
AR Hempstead County,5057,-93.665809,33.728611,"22,609",741.177
AR Hot Spring County,5059,-92.944147,34.315177,"32,923",622.172
AR Howard County,5061,-93.990988,34.083179,"13,789",595.314
AR Independence County,5063,-91.559942,35.737499,"36,647",771.518
AR Izard County,5065,-91.913625,36.094879,"13,696",584.018
AR Jackson County,5067,-91.223178,35.596605,"17,997",641.501
AR Jefferson County,5069,-91.930701,34.277696,"77,435",913.776
AR Johnson County,5071,-93.466322,35.573359,"25,540",682.744
AR Lafayette County,5073,-93.611643,33.24066,"7,645",545.079
AR Lawrence County,5075,-91.101153,36.041098,"17,415",592.342
AR Lee County,5077,-90.779288,34.77975,"10,424",619.502
AR Lincoln County,5079,-91.727624,33.957665,"14,134",572.185
AR Little River County,5081,-94.229774,33.699497,"13,171",564.766
AR Logan County,5083,-93.720563,35.21855,"22,353",731.560
AR Lonoke County,5085,-91.894132,34.755114,"68,356",802.840
AR Madison County,5087,-93.724053,36.012545,"15,717",837.080
AR Marion County,5089,-92.678588,36.266656,"16,653",640.320
AR Miller County,5091,-93.901509,33.305505,"43,462",637.649
AR Mississippi County,5093,-90.052209,35.766943,"46,480",919.812
AR Monroe County,5095,-91.203314,34.679513,"8,149",621.298
AR Montgomery County,5097,-93.664147,34.545652,"9,487",800.289
AR Nevada County,5099,-93.305072,33.666699,"8,997",620.639
AR Newton County,5101,-93.215084,35.910063,"8,330",823.186
AR Ouachita County,5103,-92.878418,33.591158,"26,120",739.752
AR Perry County,5105,-92.926877,34.946363,"10,445",560.533
AR Phillips County,5107,-90.848386,34.425842,"21,757",727.345
AR Pike County,5109,-93.658659,34.158191,"11,291",614.130
AR Poinsett County,5111,-90.680595,35.568981,"24,583",763.610
AR Polk County,5113,-94.230884,34.490915,"20,662",862.462
AR Pope County,5115,-93.031535,35.455297,"61,754",830.775
AR Prairie County,5117,-91.5572,34.828225,"8,715",675.614
AR Pulaski County,5119,-92.316515,34.773988,"382,748",807.663
AR Randolph County,5121,-91.028441,36.341299,"17,969",656.040
AR Saint Francis County,5123,-90.742199,35.014438,"28,258",642.512
AR Saline County,5125,-92.674463,34.648525,"107,118",730.490
AR Scott County,5127,-94.063641,34.858869,"11,233",898.073
AR Searcy County,5129,-92.699351,35.90966,"8,195",668.511
AR Sebastian County,5131,-94.274989,35.196981,"125,744",546.160
AR Sevier County,5133,-94.24329,33.994608,"17,058",581.277
AR Sharp County,5135,-91.471069,36.173399,"17,264",606.436
AR Stone County,5137,-92.140494,35.856989,"12,394",609.432
AR Union County,5139,-92.598145,33.168219,"41,639","1,055.199"
AR Van Buren County,5141,-92.515977,35.582959,"17,295",724.284
AR Washington County,5143,-94.218417,35.971209,"203,065",952.409
AR White County,5145,-91.753158,35.254722,"77,076","1,042.145"
AR Woodruff County,5147,-91.244418,35.189071,"7,260",594.014
AR Yell County,5149,-93.408303,34.997713,"22,185",948.857
CA Alameda County,6001,-121.913304,37.648081,"1,510,271",821.328
CA Alpine County,6003,-119.798999,38.61761,"1,175",743.180
CA Amador County,6005,-120.653856,38.44355,"38,091",605.956
CA Butte County,6007,-121.601919,39.665959,"220,000","1,677.131"
CA Calaveras County,6009,-120.555115,38.187844,"45,578","1,036.927"
CA Colusa County,6011,-122.237563,39.177739,"21,419","1,156.361"
CA Contra Costa County,6013,-121.951543,37.919479,"1,049,025",803.770
CA Del Norte County,6015,-123.980998,41.749903,"28,610","1,229.743"
CA El Dorado County,6017,-120.534398,38.785532,"181,058","1,786.356"
CA Fresno County,6019,-119.655019,36.761006,"930,450","6,011.202"
CA Glenn County,6021,-122.4017,39.602546,"28,122","1,326.978"
CA Humboldt County,6023,-123.925818,40.706673,"134,623","4,052.258"
CA Imperial County,6025,-115.355395,33.040816,"174,528","4,481.719"
CA Inyo County,6027,-117.403927,36.561977,"18,546","10,226.905"
CA Kern County,6029,-118.729506,35.346629,"839,631","8,162.641"
CA Kings County,6031,-119.81553,36.072478,"152,982","1,391.531"
CA Lake County,6033,-122.746757,39.094802,"64,665","1,329.423"
CA Lassen County,6035,-120.629931,40.721089,"34,895","4,720.119"
CA Los Angeles County,6037,-118.261862,34.196398,"9,818,605","4,750.942"
CA Madera County,6039,-119.749852,37.210039,"150,865","2,153.269"
CA Marin County,6041,-122.745974,38.051817,"252,409",828.192
CA Mariposa County,6043,-119.91286,37.570034,"18,251","1,462.820"
CA Mendocino County,6045,-123.442881,39.432388,"87,841","3,878.141"
CA Merced County,6047,-120.722802,37.194806,"255,793","1,978.509"
CA Modoc County,6049,-120.71837,41.592919,"9,686","4,203.399"
CA Mono County,6051,-118.875167,37.915836,"14,202","3,131.876"
CA Monterey County,6053,-121.315573,36.240107,"415,057","3,771.221"
CA Napa County,6055,-122.325995,38.507351,"136,484",788.582
CA Nevada County,6057,-120.773446,39.295191,"98,764",973.801
CA Orange County,6059,-117.777207,33.675687,"3,010,232",948.066
CA Placer County,6061,-120.722718,39.062032,"348,432","1,502.456"
CA Plumas County,6063,-120.829516,39.99517,"20,007","2,613.428"
CA Riverside County,6065,-116.002239,33.729828,"2,189,641","7,303.420"
CA Sacramento County,6067,-121.340441,38.450011,"1,418,788",994.018
CA San Benito County,6069,-121.085296,36.610702,"55,269","1,390.469"
CA San Bernardino County,6071,-116.181197,34.85722,"2,035,210","20,104.826"
CA San Diego County,6073,-116.776117,33.023604,"3,095,313","4,525.685"
CA San Francisco County,6075,-123.032229,37.727239,"805,235",231.889
CA San Joaquin County,6077,-121.272237,37.935034,"685,306","1,426.499"
CA San Luis Obispo County,6079,-120.44754,35.385227,"269,637","3,615.547"
CA San Mateo County,6081,-122.371542,37.414664,"718,451",740.959
CA Santa Barbara County,6083,-120.038485,34.537378,"423,895","3,789.078"
CA Santa Clara County,6085,-121.690622,37.220777,"1,781,642","1,304.067"
CA Santa Cruz County,6087,-122.007205,37.012488,"262,382",607.166
CA Shasta County,6089,-122.04355,40.760522,"177,223","3,847.422"
CA Sierra County,6091,-120.521993,39.576925,"3,240",962.210
CA Siskiyou County,6093,-122.533287,41.587986,"44,900","6,347.343"
CA Solano County,6095,-121.939594,38.267226,"413,344",906.192
CA Sonoma County,6097,-122.945194,38.532574,"483,878","1,767.947"
CA Stanislaus County,6099,-121.002656,37.562384,"514,453","1,514.687"
CA Sutter County,6101,-121.702758,39.035257,"94,737",608.490
CA Tehama County,6103,-122.232276,40.126156,"63,463","2,962.171"
CA Trinity County,6105,-123.114404,40.647724,"13,786","3,207.597"
CA Tulare County,6107,-118.780542,36.230453,"442,179","4,838.652"
CA Tuolumne County,6109,-119.964708,38.021451,"55,365","2,274.430"
CA Ventura County,6111,-119.133143,34.358742,"823,318","2,208.382"
CA Yolo County,6113,-121.903178,38.679268,"200,849","1,023.557"
CA Yuba County,6115,-121.34428,39.270026,"72,155",643.808
CO Adams County,8001,-104.331872,39.874325,"441,603","1,183.896"
CO Alamosa County,8003,-105.788041,37.568442,"15,445",723.341
CO Arapahoe County,8005,-104.331733,39.644632,"572,003",805.437
CO Archuleta County,8007,-107.050863,37.202395,"12,084","1,355.514"
CO Baca County,8009,-102.535457,37.303144,"3,788","2,557.339"
CO Bent County,8011,-103.077584,37.931891,"6,499","1,541.083"
CO Boulder County,8013,-105.398382,40.094826,"294,567",740.370
CO Broomfield County,8014,-105.052125,39.953383,"55,889",33.600
CO Chaffee County,8015,-106.316972,38.738246,"17,809","1,014.953"
CO Cheyenne County,8017,-102.604585,38.835387,"1,836","1,781.429"
CO Clear Creek County,8019,-105.670791,39.689403,"9,088",396.493
CO Conejos County,8021,-106.176447,37.213407,"8,256","1,290.957"
CO Costilla County,8023,-105.42894,37.277547,"3,524","1,230.361"
CO Crowley County,8025,-103.787562,38.321956,"5,823",800.329
CO Custer County,8027,-105.373515,38.101994,"4,255",739.924
CO Delta County,8029,-107.864757,38.861756,"30,952","1,148.599"
CO Denver County,8031,-104.880625,39.761849,"600,158",154.631
CO Dolores County,8033,-108.530383,37.747602,"2,064","1,068.100"
CO Douglas County,8035,-104.926199,39.326435,"285,465",842.869
CO Eagle County,8037,-106.692944,39.630638,"52,197","1,691.791"
CO Elbert County,8039,-104.117928,39.310817,"23,086","1,851.018"
CO El Paso County,8041,-104.527472,38.827383,"622,263","2,129.547"
CO Fremont County,8043,-105.421438,38.455658,"46,824","1,533.931"
CO Garfield County,8045,-107.90978,39.599352,"56,389","2,955.837"
CO Gilpin County,8047,-105.528947,39.861082,"5,441",150.260
CO Grand County,8049,-106.095876,40.123289,"14,843","1,869.593"
CO Gunnison County,8051,-107.078108,38.669679,"15,324","3,259.630"
CO Hinsdale County,8053,-107.383405,37.811625,843,"1,123.168"
CO Huerfano County,8055,-104.959928,37.687815,"6,711","1,593.237"
CO Jackson County,8057,-106.329248,40.663432,"1,394","1,620.962"
CO Jefferson County,8059,-105.245601,39.58646,"534,543",774.033
CO Kiowa County,8061,-102.75621,38.388466,"1,398","1,785.927"
CO Kit Carson County,8063,-102.603023,39.30534,"8,270","2,161.691"
CO Lake County,8065,-106.349696,39.204316,"7,310",383.909
CO La Plata County,8067,-107.839718,37.287367,"51,334","1,699.707"
CO Larimer County,8069,-105.482131,40.663091,"299,630","2,633.954"
CO Las Animas County,8071,-104.04411,37.318831,"15,507","4,775.348"
CO Lincoln County,8073,-103.507555,38.99374,"5,467","2,586.422"
CO Logan County,8075,-103.090464,40.728091,"22,709","1,844.865"
CO Mesa County,8077,-108.461837,39.019492,"146,723","3,341.123"
CO Mineral County,8079,-106.9323,37.651478,712,877.682
CO Moffat County,8081,-108.204521,40.573984,"13,795","4,750.912"
CO Montezuma County,8083,-108.595786,37.338025,"25,535","2,040.151"
CO Montrose County,8085,-108.263042,38.413427,"41,276","2,242.596"
CO Morgan County,8087,-103.807092,40.262354,"28,159","1,293.743"
CO Otero County,8089,-103.72126,37.88417,"18,831","1,269.703"
CO Ouray County,8091,-107.767133,38.1506,"4,436",542.211
CO Park County,8093,-105.717648,39.118914,"16,206","2,210.653"
CO Phillips County,8095,-102.345105,40.594712,"4,442",688.045
CO Pitkin County,8097,-106.915943,39.217533,"17,148",973.195
CO Prowers County,8099,-102.392161,37.958181,"12,551","1,644.323"
CO Pueblo County,8101,-104.489893,38.170658,"159,063","2,397.795"
CO Rio Blanco County,8103,-108.200685,39.972606,"6,666","3,222.814"
CO Rio Grande County,8105,-106.453214,37.485763,"11,982",912.338
CO Routt County,8107,-106.985289,40.48316,"23,509","2,368.136"
CO Saguache County,8109,-106.246675,38.033952,"6,108","3,170.245"
CO San Juan County,8111,-107.670257,37.781075,699,388.274
CO San Miguel County,8113,-108.427326,38.009374,"7,359","1,288.624"
CO Sedgwick County,8115,-102.355358,40.871568,"2,379",549.404
CO Summit County,8117,-106.137555,39.621023,"27,994",619.278
CO Teller County,8119,-105.182552,38.871994,"23,350",558.964
CO Washington County,8121,-103.209605,39.965413,"4,814","2,523.903"
CO Weld County,8123,-104.383649,40.555794,"252,825","4,016.796"
CO Yuma County,8125,-102.422649,40.000631,"10,043","2,368.704"
CT Fairfield [6] County,9001,-73.366757,41.228103,"916,829",836.923
CT Hartford [6] County,9003,-72.732916,41.806053,"894,014",750.624
CT Litchfield [6] County,9005,-73.235428,41.791897,"189,927",944.562
CT Middlesex [6] County,9007,-72.524227,41.434525,"165,676",439.063
CT New Haven [6] County,9009,-72.900204,41.349717,"862,477",862.057
CT New London [6] County,9011,-72.103452,41.47863,"274,055",771.699
CT Tolland [6] County,9013,-72.340977,41.858076,"152,691",417.047
CT Windham [6] County,9015,-71.990702,41.824999,"118,428",521.440
DE Kent County,10001,-75.502982,39.097088,"162,310",798.331
DE New Castle County,10003,-75.644132,39.575915,"538,479",494.003
DE Sussex County,10005,-75.335495,38.677511,"197,145","1,196.391"
DC District Of Columbia [7] County,11001,-77.017094,38.904149,"601,723",68.340
FL Alachua County,12001,-82.357221,29.67574,"247,336",968.808
FL Baker County,12003,-82.302284,30.324442,"27,115",588.971
FL Bay County,12005,-85.631348,30.237563,"168,852","1,033.153"
FL Bradford County,12007,-82.166796,29.946934,"28,520",300.489
FL Brevard County,12009,-80.700384,28.298276,"543,376","1,556.995"
FL Broward County,12011,-80.476658,26.19352,"1,748,066","1,322.862"
FL Calhoun County,12013,-85.197916,30.388801,"14,625",574.313
FL Charlotte County,12015,-81.940858,26.868826,"159,978",858.301
FL Citrus County,12017,-82.524796,28.843628,"141,236",773.294
FL Clay County,12019,-81.858147,29.987116,"190,865",643.548
FL Collier County,12021,-81.400884,26.118713,"321,520","2,305.015"
FL Columbia County,12023,-82.623127,30.221305,"67,531",801.328
FL Desoto County,12027,-81.806253,27.190581,"34,862",639.482
FL Dixie County,12029,-83.195666,29.580899,"16,422",863.650
FL Duval County,12031,-81.648113,30.335245,"864,263",918.452
FL Escambia County,12033,-87.33904,30.611664,"297,619",874.704
FL Flagler County,12035,-81.286362,29.474894,"95,696",570.825
FL Franklin County,12037,-84.799174,29.810176,"11,549","1,026.494"
FL Gadsden County,12039,-84.612783,30.57917,"46,389",528.528
FL Gilchrist County,12041,-82.795801,29.723456,"16,939",355.239
FL Glades County,12043,-81.19082,26.95481,"12,884",986.848
FL Gulf County,12045,-85.256537,29.907257,"15,863",755.561
FL Hamilton County,12047,-82.951049,30.491102,"14,799",519.056
FL Hardee County,12049,-81.82158,27.492846,"27,731",638.339
FL Hendry County,12051,-81.151584,26.53934,"39,140","1,189.996"
FL Hernando County,12053,-82.464835,28.567911,"172,778",589.022
FL Highlands County,12055,-81.340921,27.342627,"98,786","1,106.035"
FL Hillsborough County,12057,-82.349568,27.90659,"1,229,226","1,265.765"
FL Holmes County,12059,-85.812959,30.866222,"19,927",489.047
FL Indian River County,12061,-80.574803,27.700638,"138,028",617.006
FL Jackson County,12063,-85.210374,30.787812,"49,746",954.564
FL Jefferson County,12065,-83.890859,30.424558,"14,761",636.535
FL Lafayette County,12067,-83.17851,29.990066,"8,870",547.908
FL Lake County,12069,-81.712282,28.764113,"297,052","1,156.964"
FL Lee County,12071,-81.89225,26.552134,"618,754","1,212.461"
FL Leon County,12073,-84.2778,30.45931,"275,487",701.789
FL Levy County,12075,-82.783483,29.284409,"40,801","1,412.795"
FL Liberty County,12077,-84.868581,30.259849,"8,365",843.123
FL Madison County,12079,-83.470437,30.447228,"19,224",715.683
FL Manatee County,12081,-82.365784,27.481386,"322,833",892.679
FL Marion County,12083,-82.0431,29.202805,"331,298","1,662.610"
FL Martin County,12085,-80.398211,27.079954,"146,318",752.829
FL Miami-Dade County,12086,-80.499045,25.610494,"2,496,435","2,431.183"
FL Monroe County,12087,-81.206777,25.601043,"73,090","3,737.524"
FL Nassau County,12089,-81.764929,30.605926,"73,314",725.921
FL Okaloosa County,12091,-86.594194,30.665858,"180,822","1,082.078"
FL Okeechobee County,12093,-80.887388,27.385592,"39,996",891.907
FL Orange County,12095,-81.323295,28.514435,"1,145,956","1,003.260"
FL Osceola County,12097,-81.139312,28.059027,"268,685","1,505.906"
FL Palm Beach County,12099,-80.448673,26.645763,"1,320,134","2,383.009"
FL Pasco County,12101,-82.455707,28.302024,"464,697",868.454
FL Pinellas County,12103,-82.739518,27.903122,"916,542",608.127
FL Polk County,12105,-81.692783,27.953115,"602,095","2,010.551"
FL Putnam County,12107,-81.740894,29.606006,"74,364",826.921
FL Saint Johns County,12109,-81.383914,29.890593,"190,039",821.525
FL Saint Lucie County,12111,-80.443364,27.380775,"277,789",688.107
FL Santa Rosa County,12113,-87.014255,30.703633,"151,372","1,173.778"
FL Sarasota County,12115,-82.365835,27.184386,"379,448",725.344
FL Seminole County,12117,-81.13198,28.690079,"422,718",345.294
FL Sumter County,12119,-82.074715,28.714294,"93,420",579.826
FL Suwannee County,12121,-82.992754,30.189244,"41,551",692.256
FL Taylor County,12123,-83.616417,30.016943,"22,570","1,232.201"
FL Union County,12125,-82.366918,30.05428,"15,535",249.753
FL Volusia County,12127,-81.161813,29.057617,"494,593","1,432.436"
FL Wakulla County,12129,-84.375136,30.140378,"30,776",735.726
FL Walton County,12131,-86.176614,30.631211,"55,043","1,239.595"
FL Washington County,12133,-85.662797,30.602217,"24,896",615.954
GA Appling County,13001,-82.290103,31.739712,"18,236",512.261
GA Atkinson County,13003,-82.883614,31.300562,"8,375",344.534
GA Bacon County,13005,-82.387859,31.563327,"11,096",285.823
GA Baker County,13007,-84.454857,31.319622,"3,451",349.139
GA Baldwin County,13009,-83.255362,33.059532,"45,720",267.411
GA Banks County,13011,-83.498441,34.351922,"18,395",233.887
GA Barrow County,13013,-83.712303,33.992009,"69,367",162.941
GA Bartow County,13015,-84.838188,34.240918,"100,157",470.113
GA Ben Hill County,13017,-83.14719,31.740776,"17,634",253.908
GA Berrien County,13019,-83.231906,31.274308,"19,286",457.883
GA Bibb County,13021,-83.694193,32.808844,"155,547",255.366
GA Bleckley County,13023,-83.331717,32.435403,"13,063",219.132
GA Brantley County,13025,-81.982978,31.197334,"18,411",447.202
GA Brooks County,13027,-83.588971,30.833696,"16,243",497.801
GA Bryan County,13029,-81.438543,32.017969,"30,233",454.456
GA Bulloch County,13031,-81.74381,32.393408,"70,217",688.625
GA Burke County,13033,-82.00389,33.063737,"23,316",834.983
GA Butts County,13035,-83.958221,33.290355,"23,655",188.041
GA Calhoun County,13037,-84.62629,31.521279,"6,694",283.578
GA Camden County,13039,-81.636516,30.916358,"50,513",781.865
GA Candler County,13043,-82.071446,32.403986,"10,998",248.858
GA Carroll County,13045,-85.080527,33.582237,"110,527",503.836
GA Catoosa County,13047,-85.137353,34.899393,"63,942",162.460
GA Charlton County,13049,-82.139644,30.779904,"12,171",782.374
GA Chatham County,13051,-81.091768,31.974756,"265,128",632.263
GA Chattahoochee County,13053,-84.788021,32.347445,"11,267",251.166
GA Chattooga County,13055,-85.345289,34.474179,"26,015",313.558
GA Cherokee County,13057,-84.475057,34.244317,"214,346",434.406
GA Clarke County,13059,-83.36713,33.952234,"116,714",121.035
GA Clay County,13061,-84.992583,31.619831,"3,183",217.234
GA Clayton County,13063,-84.412977,33.552242,"259,424",144.332
GA Clinch County,13065,-82.702614,30.917653,"6,798",823.993
GA Cobb County,13067,-84.574166,33.93994,"688,078",344.518
GA Coffee County,13069,-82.844938,31.549245,"42,356",602.650
GA Colquitt County,13071,-83.769741,31.189758,"45,498",556.639
GA Columbia County,13073,-82.251342,33.550556,"124,053",307.605
GA Cook County,13075,-83.429552,31.152935,"17,212",233.203
GA Coweta County,13077,-84.762138,33.352897,"127,317",445.817
GA Crawford County,13079,-83.979182,32.709446,"12,630",326.453
